iter	Passed	Remaining
908	1404	140
909	1405	139
910	1406	137
911	1407	135
912	1409	134
913	1411	132
914	1412	131
915	1414	129
916	1415	128
917	1416	126
918	1417	124
919	1418	123
920	1419	121
921	1420	120
922	1421	118
923	1422	116
924	1423	115
925	1425	113
926	1427	112
927	1428	110
928	1429	109
929	1430	107
930	1431	106
931	1432	104
932	1433	102
933	1434	101
934	1435	99
935	1436	98
936	1439	96
937	1440	95
938	1441	93
939	1442	92
940	1444	90
941	1445	88
942	1446	87
943	1447	85
944	1448	84
945	1449	82
946	1450	81
947	1451	79
948	1452	78
949	1454	76
950	1455	74
951	1456	73
952	1457	71
953	1458	70
954	1459	68
955	1460	67
956	1461	65
957	1462	64
958	1463	62
959	1464	61
960	1465	59
961	1466	57
962	1467	56
963	1468	54
964	1469	53
965	1470	51
966	1471	50
967	1472	48
968	1473	47
969	1474	45
970	1475	44
971	1476	42
972	1477	40
973	1478	39
974	1479	37
975	1480	36
976	1481	34
977	1482	33
978	1483	31
979	1484	30
980	1485	28
981	1486	27
982	1487	25
983	1488	24
984	1489	22
985	1490	21
986	1491	19
987	1492	18
988	1493	16
989	1494	15
990	1496	13
991	1497	12
992	1498	10
993	1500	9
994	1501	7
995	1502	6
996	1503	4
997	1504	3
998	1505	1
999	1506	0
